ARTIKELNAME;Handelssprache;Lokaler Artikelname;Lieferantenartikelnummer;Lieferanten Firmenname;LIEFERANTENNUMMER;Bruttokaufpreis;Zu- und Abschläge Bezeichnung 1;Zu- und Abschläge Preisart 1;Zu- und Abschläge Wert 1;Zu- und Abschläge Bezeichnung 2;Zu- und Abschläge Preisart 2;Zu- und Abschläge Wert 2;Währung;Artikel-Mengeneinheit;Matchcode;Artikel aktiv;Preis-Eintritt;Warengruppen-Name;Warengruppen Beschreibung;Steuersatz;Zugehörigen Verkaufsartikel erstellen oder aktualisieren;Verkaufsartikel-Nummer;Bruttopreis des zugehörigen Verkaufsartikels;Verkaufsartikel-Währung;Vertriebsweg;Vertriebsweg-Steuersatz;Kurztext 1;Handelssprache;Lokalisierte Kurztext 1;Kurztext 2;Handelssprache;Lokalisierte Kurztext 2;Artikelbeschreibung;Handelssprache;Lokalisierte Artikelbeschreibung;Interner Hinweis;Handelssprache;Lokalisierter interner Hinweis;Artikel-Langbeschreibung;Handelssprache;Lokalisierte Lange Artikelbeschreibung;EAN-Nummer;MPN-Nummer;Artikeltyp;Serienartikel;Hersteller;Bruttogewicht;Nettogewicht;Zolltarifnummer;Länge Artikel;Breite Artikel;Höhe Artikel;Herstellertyp;Einführungsdatum;Sicherheitstage;Mindestlagerbestand;Zielbestand;Wiederbeschaffungstage;Durchschnittliche Lieferzeit;Mindestbestellmenge;Gebindemenge;Lieferantenbestand;Dropshipping möglich;In Dropshipping-Automatisierung ignorieren;Kostenstelle Verkauf;Kostenstelle Einkauf;Kostenart;Primäre Bezugsquelle
Gefällekeil rechts Edelstahl V2A gebürstet natur 12,5 mm 200 cm für Duschsysteme;;;5402125200R;Dural GmbH;10000;138,62;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKR 125-SF, 200;;15.07.2026;;;;;070.040.2300;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A gebürstet natur 12,5 mm, 200 cm;;;5402125200WL;Dural GmbH;10000;151,96;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKWL 125-SF, 200;;15.07.2026;;;;;070.040.2310;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A gebürstet natur 12,5 mm, 200 cm;;;5402125200WR;Dural GmbH;10000;151,96;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKWR 125-SF, 200;;15.07.2026;;;;;070.040.2320;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Gefällekeil links Edelstahl V2A strukturbeschichtet schwarz matt RAL 9005 12,5 mm 200 cm für Duschsysteme;;;5402125233L;Dural GmbH;10000;162,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKL 125-11, 200;;15.07.2026;;;;;070.040.2330;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Gefällekeil rechts Edelstahl V2A strukturbeschichtet schwarz matt RAL 9005 12,5 mm 200 cm für Duschsysteme;;;5402125233R;Dural GmbH;10000;162,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKR 125-11, 200;;15.07.2026;;;;;070.040.2340;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet schwarz matt RAL 9005 12,5 mm, 200 cm;;;5402125233WL;Dural GmbH;10000;178,36;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKWL 125-11, 200;;15.07.2026;;;;;070.040.2350;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet schwarz matt RAL 9005 12,5 mm, 200 cm;;;5402125233WR;Dural GmbH;10000;178,36;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKWR 125-11, 200;;15.07.2026;;;;;070.040.2360;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Gefällekeil links Edelstahl V2A strukturbeschichtet betongrau RAL 0006500 12,5 mm 200 cm für Duschsysteme;;;5402125265L;Dural GmbH;10000;162,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKL 125-65, 200;;15.07.2026;;;;;070.040.2370;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Gefällekeil rechts Edelstahl V2A strukturbeschichtet betongrau RAL 0006500 12,5 mm 200 cm für Duschsysteme;;;5402125265R;Dural GmbH;10000;162,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKR 125-65, 200;;15.07.2026;;;;;070.040.2380;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet betongrau RAL 0006500 12,5 mm, 200 cm;;;5402125265WL;Dural GmbH;10000;178,36;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKWL 125-65, 200;;15.07.2026;;;;;070.040.2390;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet betongrau RAL 0006500 12,5 mm, 200 cm;;;5402125265WR;Dural GmbH;10000;178,36;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKWR 125-65, 200;;15.07.2026;;;;;070.040.2400;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Gefällekeil links Edelstahl V2A strukturbeschichtet sand RAL 0808005 12,5 mm 200 cm für Duschsysteme;;;5402125280L;Dural GmbH;10000;162,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKL 125-80, 200;;15.07.2026;;;;;070.040.2410;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Gefällekeil rechts Edelstahl V2A strukturbeschichtet sand RAL 0808005 12,5 mm 200 cm für Duschsysteme;;;5402125280R;Dural GmbH;10000;162,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKR 125-80, 200;;15.07.2026;;;;;070.040.2420;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet sand RAL 0808005 12,5 mm, 200 cm;;;5402125280WL;Dural GmbH;10000;178,36;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKWL 125-80, 200;;15.07.2026;;;;;070.040.2430;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet sand RAL 0808005 12,5 mm, 200 cm;;;5402125280WR;Dural GmbH;10000;178,36;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKWR 125-80, 200;;15.07.2026;;;;;070.040.2440;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Gefällekeil links Edelstahl V2A gebürstet natur 8 mm 148 cm für Duschsysteme;;;5402150080LE;Dural GmbH;10000;76,44;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKL 80-SF, 148;;15.07.2026;;;;;070.040.2450;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Gefällekeil rechts Edelstahl V2A gebürstet natur 8 mm 148 cm für Duschsysteme;;;5402150080RE;Dural GmbH;10000;76,44;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKR 80-SF, 148;;15.07.2026;;;;;070.040.2460;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A gebürstet natur 8 mm, 150 cm;;;540215020;Dural GmbH;10000;37,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKW 200-SF, 150;;15.07.2026;;;;;070.040.2470;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet schwarz matt RAL 9005 8 mm, 150 cm;;;54021502011;Dural GmbH;10000;48,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKW 200-11, 150;;15.07.2026;;;;;070.040.2480;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet weiss matt (RAL 9003) 8 mm, 150 cm;;;54021502012;Dural GmbH;10000;48,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKW 200-12, 150;;15.07.2026;;;;;070.040.2490;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet betongrau RAL 0006500 8 mm, 150 cm;;;54021502065;Dural GmbH;10000;48,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKW 200-65, 150;;15.07.2026;;;;;070.040.2500;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet sand RAL 0808005 8 mm, 150 cm;;;54021502080;Dural GmbH;10000;48,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKW 200-80, 150;;15.07.2026;;;;;070.040.2510;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A gebürstet natur 8 mm, 150 cm;;;540215030;Dural GmbH;10000;50,84;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKW 300-SF, 150;;15.07.2026;;;;;070.040.2520;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet schwarz matt RAL 9005 8 mm, 150 cm;;;54021503011;Dural GmbH;10000;70,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKW 300-11, 150;;15.07.2026;;;;;070.040.2530;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet weiss matt (RAL 9003) 8 mm, 150 cm;;;54021503012;Dural GmbH;10000;70,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKW 300-12, 150;;15.07.2026;;;;;070.040.2540;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet betongrau RAL 0006500 8 mm, 150 cm;;;54021503065;Dural GmbH;10000;70,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKW 300-65, 150;;15.07.2026;;;;;070.040.2550;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet sand RAL 0808005 8 mm, 150 cm;;;54021503080;Dural GmbH;10000;70,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKW 300-80, 150;;15.07.2026;;;;;070.040.2560;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A gebürstet natur 8 mm, 150 cm;;;540215040;Dural GmbH;10000;66,08;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKW 400-SF, 150;;15.07.2026;;;;;070.040.2570;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet schwarz matt RAL 9005 8 mm, 150 cm;;;54021504011;Dural GmbH;10000;87,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKW 400-11, 150;;15.07.2026;;;;;070.040.2580;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet weiss matt (RAL 9003) 8 mm, 150 cm;;;54021504012;Dural GmbH;10000;87,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKW 400-12, 150;;15.07.2026;;;;;070.040.2590;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet betongrau RAL 0006500 8 mm, 150 cm;;;54021504065;Dural GmbH;10000;87,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKW 400-65, 150;;15.07.2026;;;;;070.040.2600;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Systemzubehör Edelstahl V2A strukturbeschichtet sand RAL 0808005 8 mm, 150 cm;;;54021504080;Dural GmbH;10000;87,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKW 400-80, 150;;15.07.2026;;;;;070.040.2610;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Duschablage rechteckig Edelstahl V2A gebürstet 17 x 24 cm für Bad und Dusche;;;5402170240;Dural GmbH;10000;85,64;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;TS DRG 1724;;15.07.2026;;;;;070.030.0120;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden links Edelstahl V2A strukturbeschichtet weiss matt (RAL 9003) 19 mm 98 cm für Duschflächen;;;540219009812L;Dural GmbH;10000;161,12;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGL 190-12, 98;;15.07.2026;;;;;070.040.2620;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden rechts Edelstahl V2A strukturbeschichtet weiss matt (RAL 9003) 19 mm 98 cm für Duschflächen;;;540219009812R;Dural GmbH;10000;161,12;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGR 190-12, 98;;15.07.2026;;;;;070.040.2630;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden links Edelstahl V2A strukturbeschichtet schwarz matt RAL 9005 19 mm 98 cm für Duschflächen;;;540219009833L;Dural GmbH;10000;161,12;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGL 190-11, 98;;15.07.2026;;;;;070.040.2640;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden rechts Edelstahl V2A strukturbeschichtet schwarz matt RAL 9005 19 mm 98 cm für Duschflächen;;;540219009833R;Dural GmbH;10000;161,12;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGR 190-11, 98;;15.07.2026;;;;;070.040.2650;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden links Edelstahl V2A strukturbeschichtet betongrau RAL 0006500 19 mm 98 cm für Duschflächen;;;540219009865L;Dural GmbH;10000;161,12;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGL 190-65, 98;;15.07.2026;;;;;070.040.2660;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden rechts Edelstahl V2A strukturbeschichtet betongrau RAL 0006500 19 mm 98 cm für Duschflächen;;;540219009865R;Dural GmbH;10000;161,12;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGR 190-65, 98;;15.07.2026;;;;;070.040.2670;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden links Edelstahl V2A strukturbeschichtet sand RAL 0808005 19 mm 98 cm für Duschflächen;;;540219009880L;Dural GmbH;10000;161,12;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGL 190-80, 98;;15.07.2026;;;;;070.040.2680;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden rechts Edelstahl V2A strukturbeschichtet sand RAL 0808005 19 mm 98 cm für Duschflächen;;;540219009880R;Dural GmbH;10000;161,12;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGR 190-80, 98;;15.07.2026;;;;;070.040.2690;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden links Edelstahl V2A gebürstet natur 19 mm 98 cm für Duschflächen;;;5402190098L;Dural GmbH;10000;137,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGL 190-SF, 98;;15.07.2026;;;;;070.040.2700;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden rechts Edelstahl V2A gebürstet natur 19 mm 98 cm für Duschflächen;;;5402190098R;Dural GmbH;10000;137,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGR 190-SF, 98;;15.07.2026;;;;;070.040.2710;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden links Edelstahl V2A gebürstet natur 19 mm 120 cm für Duschflächen;;;5402190120L;Dural GmbH;10000;174,54;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGL 190-SF, 120;;15.07.2026;;;;;070.040.2720;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden rechts Edelstahl V2A gebürstet natur 19 mm 120 cm für Duschflächen;;;5402190120R;Dural GmbH;10000;174,54;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGR 190-SF, 120;;15.07.2026;;;;;070.040.2730;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden links Edelstahl V2A strukturbeschichtet weiss matt (RAL 9003) 19 mm 120 cm für Duschflächen;;;54021901212L;Dural GmbH;10000;204,86;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGL 190-12, 120;;15.07.2026;;;;;070.040.2740;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden rechts Edelstahl V2A strukturbeschichtet weiss matt (RAL 9003) 19 mm 120 cm für Duschflächen;;;54021901212R;Dural GmbH;10000;204,86;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGR 190-12, 120;;15.07.2026;;;;;070.040.2750;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden links Edelstahl V2A strukturbeschichtet schwarz matt RAL 9005 19 mm 120 cm für Duschflächen;;;54021901233L;Dural GmbH;10000;204,86;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGL 190-11, 120;;15.07.2026;;;;;070.040.2760;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden rechts Edelstahl V2A strukturbeschichtet schwarz matt RAL 9005 19 mm 120 cm für Duschflächen;;;54021901233R;Dural GmbH;10000;204,86;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGR 190-11, 120;;15.07.2026;;;;;070.040.2770;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden links Edelstahl V2A strukturbeschichtet betongrau RAL 0006500 19 mm 120 cm für Duschflächen;;;54021901265L;Dural GmbH;10000;204,86;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGL 190-65, 120;;15.07.2026;;;;;070.040.2780;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden rechts Edelstahl V2A strukturbeschichtet betongrau RAL 0006500 19 mm 120 cm für Duschflächen;;;54021901265R;Dural GmbH;10000;204,86;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGR 190-65, 120;;15.07.2026;;;;;070.040.2790;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden links Edelstahl V2A strukturbeschichtet sand RAL 0808005 19 mm 120 cm für Duschflächen;;;54021901280L;Dural GmbH;10000;204,86;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGL 190-80, 120;;15.07.2026;;;;;070.040.2800;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden rechts Edelstahl V2A strukturbeschichtet sand RAL 0808005 19 mm 120 cm für Duschflächen;;;54021901280R;Dural GmbH;10000;204,86;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGR 190-80, 120;;15.07.2026;;;;;070.040.2810;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden links Edelstahl V2A strukturbeschichtet weiss matt (RAL 9003) 19 mm 148 cm für Duschflächen;;;540219014812L;Dural GmbH;10000;221,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGL 190-12, 148;;15.07.2026;;;;;070.040.2820;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden rechts Edelstahl V2A strukturbeschichtet weiss matt (RAL 9003) 19 mm 148 cm für Duschflächen;;;540219014812R;Dural GmbH;10000;221,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGR 190-12, 148;;15.07.2026;;;;;070.040.2830;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden links Edelstahl V2A strukturbeschichtet schwarz matt RAL 9005 19 mm 148 cm für Duschflächen;;;540219014833L;Dural GmbH;10000;221,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGL 190-11, 148;;15.07.2026;;;;;070.040.2840;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden rechts Edelstahl V2A strukturbeschichtet schwarz matt RAL 9005 19 mm 148 cm für Duschflächen;;;540219014833R;Dural GmbH;10000;221,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGR 190-11, 148;;15.07.2026;;;;;070.040.2850;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden links Edelstahl V2A strukturbeschichtet betongrau RAL 0006500 19 mm 148 cm für Duschflächen;;;540219014865L;Dural GmbH;10000;221,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGL 190-65, 148;;15.07.2026;;;;;070.040.2860;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden rechts Edelstahl V2A strukturbeschichtet betongrau RAL 0006500 19 mm 148 cm für Duschflächen;;;540219014865R;Dural GmbH;10000;221,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGR 190-65, 148;;15.07.2026;;;;;070.040.2870;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden links Edelstahl V2A strukturbeschichtet sand RAL 0808005 19 mm 148 cm für Duschflächen;;;540219014880L;Dural GmbH;10000;221,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGL 190-80, 148;;15.07.2026;;;;;070.040.2880;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden rechts Edelstahl V2A strukturbeschichtet sand RAL 0808005 19 mm 148 cm für Duschflächen;;;540219014880R;Dural GmbH;10000;221,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGR 190-80, 148;;15.07.2026;;;;;070.040.2890;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden links Edelstahl V2A gebürstet natur 19 mm 148 cm für Duschflächen;;;5402190148L;Dural GmbH;10000;188,32;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGL 190-SF, 148;;15.07.2026;;;;;070.040.2900;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Glasaufnahmeprofil Boden rechts Edelstahl V2A gebürstet natur 19 mm 148 cm für Duschflächen;;;5402190148R;Dural GmbH;10000;188,32;;DISCOUNT_PCT;50;;DISCOUNT_PCT;0;EUR;Stk.;GKGR 190-SF, 148;;15.07.2026;;;;;070.040.2910;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
