Prosema Artikelnummer,Kategorie,Lieferanten Firmenname,Artikelnr.,Beschreibung,PROSEMA Kurztext,PROSEMA Langtext,SEO Meta Title,SEO Meta Description,Fokus-Keyword,Shopify Tags,Datenstatus,Referenz (Matchcode),Hauptgruppe,Untergruppe,Produktfamilie,Grundmaterial,Oberfläche,Farbe,Breite mm,Länge cm,Höhe mm,Basiseinheitencode,Nettogewicht kg,Verpackung,GTIN (EAN-Nummer),Zolltarifnummer,Einkaufspreis EUR netto,"Verkaufspreis €, BE",Einkaufspreis Prosema,Verkaufspreis,Verkaufspreis o. Verkn.,Verkaufseinheit,Rabattkategorie_Lieferant,VPE 1,VPE 2,VPE 3,Lieferantennummer,Produktfoto 1
060.040.0030,,Dural GmbH,95310000DR,"DR 100++ 12,5 QM SCHWARZ","Drainagematte HDPE schwarz 12,5 m²","Die Drainagematte führt Sickerwasser unter Belagskonstruktionen im Aussenbereich ab und unterstützt die Entwässerung auf abgedichteten Untergründen. Material: HDPE. Farbe: schwarz. Abmessung: Breite 100 cm, Länge 12,5 m. Verpackung: 1 Rolle à 12,5 m². Die Matte wird auf der Abdichtung oder geeigneten Unterkonstruktion verlegt und ist für Balkon- und Terrassenaufbauten vorgesehen.","Drainagematte HDPE schwarz 12,5 m² | PROSEMA",Drainagematte aus HDPE in schwarz.,Drainagematte,"Drainagematte, HDPE, schwarz, Drainagematten, 100 cm, 12,5 m",PPDS 2.0 geprüft,"DR 100++ 12, 1",Mattensysteme,Drainagematten,DURABASE DR 100++,HDPE,,Schwarz,100,"12,5",,qm,"0,762","1 Rolle à 12,5 m²",4018448176894,39191012,,29.2,,,,"€, m²",MAT,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabase-dr100++_roll.jpg"
060.040.0040,,Dural GmbH,95310009DR,"DR 100++ 6 X 12,5 QM SCHWARZ","Drainagematte HDPE schwarz 100 cm x 12,5 m","Die Drainagematte führt Sickerwasser unter Belagskonstruktionen im Aussenbereich ab und unterstützt die Entwässerung auf abgedichteten Untergründen. Material: HDPE. Farbe: schwarz. Abmessung: Breite 100 cm, Länge 12,5 m. Verpackung: Palette, 6 Rollen (75 m²). Die Matte wird auf der Abdichtung oder geeigneten Unterkonstruktion verlegt und ist für Balkon- und Terrassenaufbauten vorgesehen.","Drainagematte HDPE schwarz 100 cm x 12,5 m | PROSEMA",Drainagematte aus HDPE in schwarz.,Drainagematte,"Drainagematte, HDPE, schwarz, Drainagematten, 100 cm, 12,5 m",PPDS 2.0 geprüft,"DR 100++ 12, 6",Mattensysteme,Drainagematten,DURABASE DR 100++,HDPE,,Schwarz,100,"12,5",,qm,"0,762","Palette, 6 Rollen (75 m²)",4018448176900,39191012,,27.38,,,,"€, m²",MAT,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabase-dr100++_roll.jpg"
060.010.0470,,Dural GmbH,ETSAK34320020,ET-S FM 200 DICHTMANSCHETTE 20 STK.,"Dichtmanschette Polyethylen, Polypropylen gelb 20 Stück","Die Dichtmanschette dient zur Abdichtung von Rohrdurchführungen, Abläufen oder Installationsanschlüssen in Nassbereichen. Sie wird in die Verbundabdichtung eingebettet und sorgt für einen dichten Anschluss an das Bauteil. Material: Polyethylen, Polypropylen. Farbe: gelb. Verpackung: Cut-Case 20 Stück. Geeignet für die systemgerechte Verarbeitung unter keramischen Belägen.","Dichtmanschette Polyethylen, Polypropylen gelb 20 Stück | PROSEMA","Dichtmanschette aus Polyethylen, Polypropylen in gelb für Verbundabdichtungen und Nassbereiche.",Dichtmanschette,"Dichtmanschette, Polyethylen, Polypropylen, gelb, Abdichtmatten, Abdichtung, Nassbereich, 20 Stück",PPDS 2.0 geprüft,"ET-S FM 200, 20",Mattensysteme,Abdichtmatten,DURABASE ET-S,"Polyethylen], [Polypropylen",,Gelb,,,,Stk.,"0,02",Cut-Case 20 Stück,4018448114933,56031480,,22.96,,,,"€, Stück",MAT,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabase-et-s_et-s-fm200.jpg?v=2"
060.010.0480,,Dural GmbH,ETSAK34415020,ET-S FM 150 DICHTMANSCHETTE 20 STK.,"Dichtmanschette Polyethylen, Polypropylen gelb 20 Stück","Die Dichtmanschette dient zur Abdichtung von Rohrdurchführungen, Abläufen oder Installationsanschlüssen in Nassbereichen. Sie wird in die Verbundabdichtung eingebettet und sorgt für einen dichten Anschluss an das Bauteil. Material: Polyethylen, Polypropylen. Farbe: gelb. Verpackung: Cut-Case 20 Stück. Geeignet für die systemgerechte Verarbeitung unter keramischen Belägen.","Dichtmanschette Polyethylen, Polypropylen gelb 20 Stück | PROSEMA","Dichtmanschette aus Polyethylen, Polypropylen in gelb für Verbundabdichtungen und Nassbereiche.",Dichtmanschette,"Dichtmanschette, Polyethylen, Polypropylen, gelb, Abdichtmatten, Abdichtung, Nassbereich, 20 Stück",PPDS 2.0 geprüft,"ET-S FM 150, 20",Mattensysteme,Abdichtmatten,DURABASE ET-S,"Polyethylen], [Polypropylen",,Gelb,,,,Stk.,"0,015",Cut-Case 20 Stück,4018448114940,56031480,,16.26,,,,"€, Stück",MAT,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabase-et-s_et-s-fm150.jpg?v=2"
060.010.0490,,Dural GmbH,ETSAK34512020,ET-S FM 120 DICHTMANSCHETTE 20 STK.,"Dichtmanschette Polyethylen, Polypropylen gelb 20 Stück","Die Dichtmanschette dient zur Abdichtung von Rohrdurchführungen, Abläufen oder Installationsanschlüssen in Nassbereichen. Sie wird in die Verbundabdichtung eingebettet und sorgt für einen dichten Anschluss an das Bauteil. Material: Polyethylen, Polypropylen. Farbe: gelb. Verpackung: Cut-Case 20 Stück. Geeignet für die systemgerechte Verarbeitung unter keramischen Belägen.","Dichtmanschette Polyethylen, Polypropylen gelb 20 Stück | PROSEMA","Dichtmanschette aus Polyethylen, Polypropylen in gelb für Verbundabdichtungen und Nassbereiche.",Dichtmanschette,"Dichtmanschette, Polyethylen, Polypropylen, gelb, Abdichtmatten, Abdichtung, Nassbereich, 20 Stück",PPDS 2.0 geprüft,"ET-S FM 120, 20",Mattensysteme,Abdichtmatten,DURABASE ET-S,"Polyethylen], [Polypropylen",,Gelb,,,,Stk.,"0,012",Cut-Case 20 Stück,4018448114957,56031480,,12.28,,,,"€, Stück",MAT,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabase-et-s_et-s-fm120.jpg?v=2"
060.010.0500,,Dural GmbH,ETSAK346A10,ET-S FX AUSSENECKE 20 STK.,"Aussenecke Polyethylen, Polypropylen gelb 20 Stück","Die Aussenecke ist ein vorgeformtes Abdichtformteil für Eckausbildungen in Verbundabdichtungen. Sie reduziert Zuschnitte auf der Baustelle und ermöglicht eine sichere Abdichtung von Innen- oder Aussenecken. Material: Polyethylen, Polypropylen. Farbe: gelb. Verpackung: Cut-Case 20 Stück. Das Formteil wird in die Abdichtungsschicht eingebettet und mit den angrenzenden Dichtbändern überlappt.","Aussenecke Polyethylen, Polypropylen gelb 20 Stück | PROSEMA","Aussenecke aus Polyethylen, Polypropylen in gelb für Verbundabdichtungen und Nassbereiche.",Aussenecke,"Aussenecke, Polyethylen, Polypropylen, gelb, Abdichtmatten, Zubehör, 20 Stück",PPDS 2.0 geprüft,"ET-S FX, 20",Mattensysteme,Abdichtmatten,DURABASE ET-S,"Polyethylen], [Polypropylen",,Gelb,,,,Stk.,"0,015",Cut-Case 20 Stück,4018448114964,56031480,,13.32,,,,"€, Stück",MAT,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabase-et-s_et-s-fx.jpg?v=2"
060.010.0510,,Dural GmbH,ETSAK347I20,ET-S FXI INNENECKE 20 STK.,"Innenecke Polyethylen, Polypropylen gelb 20 Stück","Die Innenecke ist ein vorgeformtes Abdichtformteil für Eckausbildungen in Verbundabdichtungen. Sie reduziert Zuschnitte auf der Baustelle und ermöglicht eine sichere Abdichtung von Innen- oder Aussenecken. Material: Polyethylen, Polypropylen. Farbe: gelb. Verpackung: Cut-Case 20 Stück. Das Formteil wird in die Abdichtungsschicht eingebettet und mit den angrenzenden Dichtbändern überlappt.","Innenecke Polyethylen, Polypropylen gelb 20 Stück | PROSEMA","Innenecke aus Polyethylen, Polypropylen in gelb für Verbundabdichtungen und Nassbereiche.",Innenecke,"Innenecke, Polyethylen, Polypropylen, gelb, Abdichtmatten, Zubehör, 20 Stück",PPDS 2.0 geprüft,"ET-S FXI, 20",Mattensysteme,Abdichtmatten,DURABASE ET-S,"Polyethylen], [Polypropylen",,Gelb,,,,Stk.,"0,015",Cut-Case 20 Stück,4018448114971,56031480,,13.32,,,,"€, Stück",MAT,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabase-et-s_et-s-fxi.jpg?v=2"
060.010.0520,,Dural GmbH,ETSAK348A10,ET-S FXW SK WANNENECKE AUSSEN 10 STK.,"Abdichtbahn Polyethylen, Polypropylen gelb","Die Abdichtbahn dient zur Verbundabdichtung unter keramischen Belägen in Nassbereichen und schützt den Untergrund vor Feuchtigkeit. Material: Polyethylen, Polypropylen. Farbe: gelb. Abmessung: 10 Stück. Verpackung: Cut-Case 10 Stück. Sie wird flächig in den geeigneten Kleber eingebettet und mit Dichtbändern, Ecken und Manschetten systemgerecht angeschlossen.","Abdichtbahn Polyethylen, Polypropylen gelb | PROSEMA","Abdichtbahn aus Polyethylen, Polypropylen in gelb für Verbundabdichtungen und Nassbereiche.",Abdichtbahn,"Abdichtbahn, Polyethylen, Polypropylen, gelb, Abdichtmatten, Abdichtung, Nassbereich, 10 Stück",PPDS 2.0 geprüft,"ET-S FXW SK, 10",Mattensysteme,Abdichtmatten,DURABASE ET-S,"Polyethylen], [Polypropylen",,Gelb,,,,Stk.,"0,015",Cut-Case 10 Stück,4018448114988,56031480,,11.92,,,,"€, Stück",MAT,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabase-et-s_et-s-fxw-sk.jpg?v=2"
060.010.0530,,Dural GmbH,ETSAK349I10,ET-S FXIW SK WANNENECKE INNEN 10 STK.,"Abdichtbahn Polyethylen, Polypropylen gelb","Die Abdichtbahn dient zur Verbundabdichtung unter keramischen Belägen in Nassbereichen und schützt den Untergrund vor Feuchtigkeit. Material: Polyethylen, Polypropylen. Farbe: gelb. Abmessung: 10 Stück. Verpackung: Cut-Case 10 Stück. Sie wird flächig in den geeigneten Kleber eingebettet und mit Dichtbändern, Ecken und Manschetten systemgerecht angeschlossen.","Abdichtbahn Polyethylen, Polypropylen gelb | PROSEMA","Abdichtbahn aus Polyethylen, Polypropylen in gelb für Verbundabdichtungen und Nassbereiche.",Abdichtbahn,"Abdichtbahn, Polyethylen, Polypropylen, gelb, Abdichtmatten, Abdichtung, Nassbereich, 10 Stück",PPDS 2.0 geprüft,"ET-S FXIW SK, 10",Mattensysteme,Abdichtmatten,DURABASE ET-S,"Polyethylen], [Polypropylen",,Gelb,,,,Stk.,"0,015",Cut-Case 10 Stück,4018448114995,56031480,,11.34,,,,"€, Stück",MAT,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabase-et-s_et-s-fxiw-sk.jpg?v=2"
060.010.0540,,Dural GmbH,ETSAK3503DL10,ET-S FXDL 3D-DUSCHECKE LINKS 10 STK.,"Abdichtbahn Polyethylen, Polypropylen gelb","Die Abdichtbahn dient zur Verbundabdichtung unter keramischen Belägen in Nassbereichen und schützt den Untergrund vor Feuchtigkeit. Material: Polyethylen, Polypropylen. Farbe: gelb. Abmessung: 10 Stück. Verpackung: Cut-Case 10 Stück. Sie wird flächig in den geeigneten Kleber eingebettet und mit Dichtbändern, Ecken und Manschetten systemgerecht angeschlossen.","Abdichtbahn Polyethylen, Polypropylen gelb | PROSEMA","Abdichtbahn aus Polyethylen, Polypropylen in gelb für Verbundabdichtungen und Nassbereiche.",Abdichtbahn,"Abdichtbahn, Polyethylen, Polypropylen, gelb, Abdichtmatten, Abdichtung, Nassbereich, 10 Stück",PPDS 2.0 geprüft,"ET-S FXDL 28, 10",Mattensysteme,Abdichtmatten,DURABASE ET-S,"Polyethylen], [Polypropylen",,Gelb,,,,Stk.,"0,015",Cut-Case 10 Stück,4018448115008,56031480,,13.8,,,,"€, Stück",MAT,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabase-et-s_et-s-fxdl28.jpg?v=2"
060.010.0550,,Dural GmbH,ETSAK3513DR10,ET-S FXDR 3D-DUSCHECKE RECHTS 10 STK.,"Abdichtbahn Polyethylen, Polypropylen gelb","Die Abdichtbahn dient zur Verbundabdichtung unter keramischen Belägen in Nassbereichen und schützt den Untergrund vor Feuchtigkeit. Material: Polyethylen, Polypropylen. Farbe: gelb. Abmessung: 10 Stück. Verpackung: Cut-Case 10 Stück. Sie wird flächig in den geeigneten Kleber eingebettet und mit Dichtbändern, Ecken und Manschetten systemgerecht angeschlossen.","Abdichtbahn Polyethylen, Polypropylen gelb | PROSEMA","Abdichtbahn aus Polyethylen, Polypropylen in gelb für Verbundabdichtungen und Nassbereiche.",Abdichtbahn,"Abdichtbahn, Polyethylen, Polypropylen, gelb, Abdichtmatten, Abdichtung, Nassbereich, 10 Stück",PPDS 2.0 geprüft,"ET-S FXDR 28, 10",Mattensysteme,Abdichtmatten,DURABASE ET-S,"Polyethylen], [Polypropylen",,Gelb,,,,Stk.,"0,015",Cut-Case 10 Stück,4018448115015,56031480,,13.8,,,,"€, Stück",MAT,1,,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabase-et-s_et-s-fxdr28.jpg?v=3"
010.010.0010,100 Werkzeug.100 Zubehör. 0001 Art.Nr.,Dural GmbH,03002000,NIVOFIX NWS ZANGE 1 ST.,Verlegezange für Nivelliersystem Polypropylen 1 Stück,Verlegezange für Nivelliersystem für die planebene Verlegung keramischer Fliesen und Platten. Das Zubehör unterstützt die Höhenführung während der Verlegung und reduziert Überzähne zwischen benachbarten Belagselementen. Material: Polypropylen; Verpackung: 1 Stück; Artikelnummer: 1.,Verlegezange für Nivelliersystem Polypropylen 1 Stück | PROSEMA,Verlegezange für Nivelliersystem für die planebene Verlegung keramischer Fliesen und Platten.,Nivelliersystem Zubehör,"Verlegezange für Nivelliersystem, Nivelliersystem, Polypropylen, 1 Stück, Verlegezubehör",PPDS 1.2 geprüft,NWS Grip,Zubehör,Nivelliersystem,NIVOFIX,Polypropylen,,,,,,Stk.,"0,12",1 Stück,4018448096826,39259080,,73.32,TRUE,TRUE,TRUE,"€, Stück",NET,1,,,10000,"https:, images.onetimepim.com, acc-90, images, zange.jpg"
010.010.0020,100 Werkzeug.100 Zubehör. 0001 Art.Nr.,Dural GmbH,03003000,NIVOFIX NWS STARTERSET,Starterset für Nivelliersystem Polypropylen 100 Stück,Starterset für Nivelliersystem für die planebene Verlegung keramischer Fliesen und Platten. Das Zubehör unterstützt die Höhenführung während der Verlegung und reduziert Überzähne zwischen benachbarten Belagselementen. Material: Polypropylen; Verpackung: 100 Stück; Artikelnummer: 03003000.,Starterset für Nivelliersystem Polypropylen 100 Stück | PROSEMA,Starterset für Nivelliersystem für die planebene Verlegung keramischer Fliesen und Platten.,Nivelliersystem Zubehör,"Starterset für Nivelliersystem, Nivelliersystem, Polypropylen, 100 Stück, Verlegezubehör",PPDS 1.2 geprüft,NWS Start,Zubehör,Nivelliersystem,NIVOFIX,Polypropylen,,,,,,Stk.,"1,7","Beutel, 100 Stück",4018448096840,39259080,,78.72,TRUE,TRUE,TRUE,"€, Box",NET,1,60,,10000,"https:, images.onetimepim.com, acc-90, images, nivello_ws_starterset.jpg?v=4"
010.010.0030,100 Werkzeug.100 Zubehör. 0001 Art.Nr.,Dural GmbH,03003100,NIVOFIX NWS KEIL 100 ST.,Keile für Nivelliersystem Polypropylen blau 100 mm 100 Stück,Keile für Nivelliersystem für die planebene Verlegung keramischer Fliesen und Platten. Das Zubehör unterstützt die Höhenführung während der Verlegung und reduziert Überzähne zwischen benachbarten Belagselementen. Material: Polypropylen; Farbe: blau; Verpackung: 100 Stück; Artikelnummer: 03003100.,Keile für Nivelliersystem Polypropylen blau 100 mm 100 Stück | PROSEMA,Keile für Nivelliersystem für die planebene Verlegung keramischer Fliesen und Platten.,Nivelliersystem Zubehör,"Keile für Nivelliersystem, Nivelliersystem, Polypropylen, blau, 100 Stück, Verlegezubehör",PPDS 1.2 geprüft,"NWS K, 100",Zubehör,Nivelliersystem,NIVOFIX,Polypropylen,,Blau,,,,Btl.,"0,9",Beutel 100 Stück,4018448096758,39259080,,34.8,TRUE,TRUE,TRUE,"€, Beutel",NET,1,30,,10000,"https:, images.onetimepim.com, acc-90, images, 33003100_nivello_ws_keil.png"
010.010.0040,100 Werkzeug.100 Zubehör. 0001 Art.Nr.,Dural GmbH,03003250,NIVOFIX NWS LASCHE 250 ST.,"Nivellierlaschen Polypropylen 1,5 mm 250 Stück",Nivellierlaschen für die planebene Verlegung keramischer Fliesen und Platten. Das Zubehör unterstützt die Höhenführung während der Verlegung und reduziert Überzähne zwischen benachbarten Belagselementen. Material: Polypropylen; Verpackung: 250 Stück; Artikelnummer: 03003250.,"Nivellierlaschen Polypropylen 1,5 mm 250 Stück | PROSEMA",Nivellierlaschen für die planebene Verlegung keramischer Fliesen und Platten.,Nivelliersystem Zubehör,"Nivellierlaschen, Nivelliersystem, Polypropylen, 250 Stück, Verlegezubehör",PPDS 1.2 geprüft,"NWS L-1,5, 250",Zubehör,Nivelliersystem,NIVOFIX,Polypropylen,,,,,,Btl.,"1,1",Beutel 250 Stück,4018448096802,39259080,,52.56,TRUE,TRUE,TRUE,"€, Beutel",NET,1,60,,10000,"https:, images.onetimepim.com, acc-90, images, 33003250_nivofix_laschen_12-28mm382.png"
010.020.0010,100 Werkzeug.100 Zubehör. 0001 Art.Nr.,Dural GmbH,03010100,CR 100 100 STK FUGENKREUZE,Fugenkreuze Kunststoff weiss 1 mm 100 Stück,Fugenkreuze aus Kunststoff zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten. Die Abstandhalter unterstützen eine konstante Fugenbreite während der Verlegung. Material: Kunststoff; Farbe: weiss; Verpackung: 100 Stück; Artikelnummer: 03010100.,Fugenkreuze Kunststoff weiss 1 mm 100 Stück | PROSEMA,Fugenkreuze aus Kunststoff zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten.,Fugenkreuze,"Fugenkreuze, Kunststoff, weiss, 1 mm, 100 Stück, Verlegezubehör",PPDS 1.2 geprüft,"CR 100, 100",Zubehör,Verlegematerial,FUGENKREUZE,Kunststoff,,Weiss,,,,Btl.,"0,12",Beutel 100 Stück,4018448500071,39269097,,4.18,TRUE,TRUE,TRUE,"€, Beutel",NET,1,50,,10000,"https:, images.onetimepim.com, acc-90, images, 03040250_cr_40_fugenkreuze.jpg"
010.020.0020,100 Werkzeug.100 Zubehör. 0001 Art.Nr.,Dural GmbH,03011100,CRT 100 100 STK FUGENKREUZE,Fugenkreuze PVC weiss 1 mm 100 Stück,Fugenkreuze aus PVC zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten. Die Abstandhalter unterstützen eine konstante Fugenbreite während der Verlegung. Material: PVC; Farbe: weiss; Verpackung: 100 Stück; Artikelnummer: 03011100.,Fugenkreuze PVC weiss 1 mm 100 Stück | PROSEMA,Fugenkreuze aus PVC zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten.,Fugenkreuze,"Fugenkreuze, PVC, weiss, 1 mm, 100 Stück, Verlegezubehör",PPDS 1.2 geprüft,"CRT 100, 100",Zubehör,Verlegematerial,FUGENKREUZE,PVC,,Weiss,,,,Btl.,"0,05",Beutel 100 Stück,4018448500118,39269097,,4.14,TRUE,TRUE,TRUE,"€, Beutel",NET,1,50,,10000,"https:, images.onetimepim.com, acc-90, images, fugenkreuz_crt_30_t-form_weiss.jpg"
010.020.0030,100 Werkzeug.100 Zubehör. 0001 Art.Nr.,Dural GmbH,03019250,CR 15 250 STK FUGENKREUZE,"Fugenkreuze Kunststoff weiss 1,5 mm 250 Stück",Fugenkreuze aus Kunststoff zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten. Die Abstandhalter unterstützen eine konstante Fugenbreite während der Verlegung. Material: Kunststoff; Farbe: weiss; Verpackung: 250 Stück; Artikelnummer: 03019250.,"Fugenkreuze Kunststoff weiss 1,5 mm 250 Stück | PROSEMA",Fugenkreuze aus Kunststoff zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten.,Fugenkreuze,"Fugenkreuze, Kunststoff, weiss, 1,5 mm, 250 Stück, Verlegezubehör",PPDS 1.2 geprüft,"CR 15, 250",Zubehör,Verlegematerial,FUGENKREUZE,Kunststoff,,Weiss,,,,Btl.,"0,06",Beutel 250 Stück,4018448500019,39269097,,3.06,TRUE,TRUE,TRUE,"€, Beutel",NET,1,50,,10000,"https:, images.onetimepim.com, acc-90, images, 03040250_cr_40_fugenkreuze.jpg"
010.020.0040,100 Werkzeug.100 Zubehör. 0001 Art.Nr.,Dural GmbH,03029250,CR 20 250 STK FUGENKREUZE,Fugenkreuze Kunststoff weiss 2 mm 250 Stück,Fugenkreuze aus Kunststoff zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten. Die Abstandhalter unterstützen eine konstante Fugenbreite während der Verlegung. Material: Kunststoff; Farbe: weiss; Verpackung: 250 Stück; Artikelnummer: 03029250.,Fugenkreuze Kunststoff weiss 2 mm 250 Stück | PROSEMA,Fugenkreuze aus Kunststoff zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten.,Fugenkreuze,"Fugenkreuze, Kunststoff, weiss, 2 mm, 250 Stück, Verlegezubehör",PPDS 1.2 geprüft,"CR 20, 250",Zubehör,Verlegematerial,FUGENKREUZE,Kunststoff,,Weiss,,,,Btl.,"0,07",Beutel 250 Stück,4018448500026,39269097,,3.06,TRUE,TRUE,TRUE,"€, Beutel",NET,1,50,,10000,"https:, images.onetimepim.com, acc-90, images, 03040250_cr_40_fugenkreuze.jpg"
010.020.0050,100 Werkzeug.100 Zubehör. 0001 Art.Nr.,Dural GmbH,03031200,CRT 30 200 STK FUGENKREUZE,Fugenkreuze PVC weiss 3 mm 200 Stück,Fugenkreuze aus PVC zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten. Die Abstandhalter unterstützen eine konstante Fugenbreite während der Verlegung. Material: PVC; Farbe: weiss; Verpackung: 200 Stück; Artikelnummer: 03031200.,Fugenkreuze PVC weiss 3 mm 200 Stück | PROSEMA,Fugenkreuze aus PVC zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten.,Fugenkreuze,"Fugenkreuze, PVC, weiss, 3 mm, 200 Stück, Verlegezubehör",PPDS 1.2 geprüft,"CRT 30, 200",Zubehör,Verlegematerial,FUGENKREUZE,PVC,,Weiss,,,,Btl.,"0,1",Beutel 200 Stück,4018448500002,39269097,,3.96,TRUE,TRUE,TRUE,"€, Beutel",NET,1,50,,10000,"https:, images.onetimepim.com, acc-90, images, fugenkreuz_crt_30_t-form_weiss.jpg"
010.020.0060,100 Werkzeug.100 Zubehör. 0001 Art.Nr.,Dural GmbH,03039250,CR 30 250 STK FUGENKREUZE,Fugenkreuze Kunststoff weiss 3 mm 250 Stück,Fugenkreuze aus Kunststoff zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten. Die Abstandhalter unterstützen eine konstante Fugenbreite während der Verlegung. Material: Kunststoff; Farbe: weiss; Verpackung: 250 Stück; Artikelnummer: 03039250.,Fugenkreuze Kunststoff weiss 3 mm 250 Stück | PROSEMA,Fugenkreuze aus Kunststoff zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten.,Fugenkreuze,"Fugenkreuze, Kunststoff, weiss, 3 mm, 250 Stück, Verlegezubehör",PPDS 1.2 geprüft,"CR 30, 250",Zubehör,Verlegematerial,FUGENKREUZE,Kunststoff,,Weiss,,,,Btl.,"0,09",Beutel 250 Stück,4018448500033,39269097,,3.2,TRUE,TRUE,TRUE,"€, Beutel",NET,1,50,,10000,"https:, images.onetimepim.com, acc-90, images, 03040250_cr_40_fugenkreuze.jpg"
010.020.0070,100 Werkzeug.100 Zubehör. 0001 Art.Nr.,Dural GmbH,03040250,CR 40 250 STK FUGENKREUZE,Fugenkreuze Kunststoff weiss 4 mm 250 Stück,Fugenkreuze aus Kunststoff zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten. Die Abstandhalter unterstützen eine konstante Fugenbreite während der Verlegung. Material: Kunststoff; Farbe: weiss; Verpackung: 250 Stück; Artikelnummer: 03040250.,Fugenkreuze Kunststoff weiss 4 mm 250 Stück | PROSEMA,Fugenkreuze aus Kunststoff zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten.,Fugenkreuze,"Fugenkreuze, Kunststoff, weiss, 4 mm, 250 Stück, Verlegezubehör",PPDS 1.2 geprüft,"CR 40, 250",Zubehör,Verlegematerial,FUGENKREUZE,Kunststoff,,Weiss,,,,Btl.,"0,11",Beutel 250 Stück,4018448500040,39269097,,4.06,TRUE,TRUE,TRUE,"€, Beutel",NET,1,50,,10000,"https:, images.onetimepim.com, acc-90, images, 03040250_cr_40_fugenkreuze.jpg"
010.020.0080,100 Werkzeug.100 Zubehör. 0001 Art.Nr.,Dural GmbH,03041200,CRT 40 200 STK FUGENKREUZE,Fugenkreuze PVC weiss 4 mm 200 Stück,Fugenkreuze aus PVC zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten. Die Abstandhalter unterstützen eine konstante Fugenbreite während der Verlegung. Material: PVC; Farbe: weiss; Verpackung: 200 Stück; Artikelnummer: 03041200.,Fugenkreuze PVC weiss 4 mm 200 Stück | PROSEMA,Fugenkreuze aus PVC zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten.,Fugenkreuze,"Fugenkreuze, PVC, weiss, 4 mm, 200 Stück, Verlegezubehör",PPDS 1.2 geprüft,"CRT 40, 200",Zubehör,Verlegematerial,FUGENKREUZE,PVC,,Weiss,,,,Btl.,"0,1",Beutel 200 Stück,4018448500088,39269097,,4.06,TRUE,TRUE,TRUE,"€, Beutel",NET,1,50,,10000,"https:, images.onetimepim.com, acc-90, images, fugenkreuz_crt_30_t-form_weiss.jpg"
010.020.0090,100 Werkzeug.100 Zubehör. 0001 Art.Nr.,Dural GmbH,03050200,CR 50 200 STK FUGENKREUZE,Fugenkreuze Kunststoff weiss 5 mm 200 Stück,Fugenkreuze aus Kunststoff zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten. Die Abstandhalter unterstützen eine konstante Fugenbreite während der Verlegung. Material: Kunststoff; Farbe: weiss; Verpackung: 200 Stück; Artikelnummer: 03050200.,Fugenkreuze Kunststoff weiss 5 mm 200 Stück | PROSEMA,Fugenkreuze aus Kunststoff zur gleichmässigen Ausbildung von Fugen bei keramischen Fliesen und Platten.,Fugenkreuze,"Fugenkreuze, Kunststoff, weiss, 5 mm, 200 Stück, Verlegezubehör",PPDS 1.2 geprüft,"CR 50, 200",Zubehör,Verlegematerial,FUGENKREUZE,Kunststoff,,Weiss,,,,Btl.,"0,12",Beutel 200 Stück,4018448500057,39269097,,4.18,TRUE,TRUE,TRUE,"€, Beutel",NET,1,50,,10000,"https:, images.onetimepim.com, acc-90, images, 03040250_cr_40_fugenkreuze.jpg"
